"","age1.S","age2_no_comorbid.S","age2_comorbid.S","age3_no_comorbid.S","age3_comorbid.S"
"1",30,126,13,5,30
"2",21,120,13,18,14
"3",31,125,13,12,15
"4",814,941,125,44,75
"5",15,88,16,7,18
"6",23,107,15,9,16
"7",30,135,18,13,23
"8",22,131,18,13,22
"9",22,138,17,15,22
"10",814,941,125,44,75
"11",19,134,18,10,16
"12",20,100,20,15,19
"13",813,941,125,44,74
"14",813,941,125,44,75
"15",31,127,26,13,19
"16",25,95,16,11,11
"17",28,163,16,9,20
"18",34,135,26,14,23
"19",27,128,14,10,22
"20",29,134,17,8,17
"21",28,131,15,14,21
"22",814,941,125,44,75
"23",814,941,125,44,75
"24",24,96,15,8,13
"25",31,123,10,14,26
"26",24,112,18,7,16
"27",32,110,19,8,22
"28",813,940,125,44,75
"29",39,125,25,10,18
"30",814,941,125,44,75
"31",814,941,125,44,75
"32",24,111,19,14,22
"33",34,155,20,13,20
"34",25,122,12,14,20
"35",813,941,125,44,75
"36",16,102,18,3,24
"37",30,136,20,14,23
"38",22,104,17,13,16
"39",19,101,15,14,15
"40",813,941,125,44,75
"41",32,126,17,12,18
"42",15,106,17,10,17
"43",20,132,11,9,12
"44",31,147,9,13,24
"45",814,941,125,44,75
"46",814,941,125,44,75
"47",814,941,125,44,75
"48",814,941,125,44,75
"49",23,110,23,10,9
"50",27,98,13,10,19
"51",814,941,125,44,75
"52",25,101,9,11,17
"53",814,941,125,44,75
"54",812,939,125,44,75
"55",813,941,125,44,75
"56",14,113,13,8,12
"57",14,97,7,13,18
"58",15,89,8,7,12
"59",812,940,125,44,75
"60",18,103,12,7,16
"61",814,941,125,44,75
"62",814,941,125,44,75
"63",814,941,125,44,75
"64",15,94,12,7,14
"65",814,941,125,44,75
"66",18,117,11,14,15
"67",34,133,13,10,22
"68",811,941,124,44,75
"69",18,119,13,8,14
"70",27,119,21,4,20
"71",814,941,125,44,75
"72",813,941,124,44,75
"73",27,133,14,6,25
"74",31,121,17,16,17
"75",814,941,125,44,75
"76",29,93,18,10,10
"77",23,101,14,12,24
"78",814,941,125,44,75
"79",22,111,14,7,16
"80",21,103,14,10,20
"81",814,941,125,44,75
"82",22,111,15,9,16
"83",31,119,20,9,15
"84",812,941,124,44,75
"85",18,108,24,13,17
"86",813,940,125,44,75
"87",23,102,18,14,22
"88",11,94,18,11,18
"89",29,121,13,9,15
"90",15,119,11,6,12
"91",27,146,24,7,19
"92",814,941,125,44,75
"93",22,99,11,9,20
"94",21,128,15,15,17
"95",814,941,125,44,75
"96",24,146,15,12,24
"97",814,940,125,44,75
"98",29,119,16,12,18
"99",814,941,125,44,75
"100",23,126,18,10,20
"101",24,131,19,10,23
"102",814,941,125,44,75
"103",23,115,14,10,17
"104",17,91,10,8,16
"105",25,113,19,7,23
"106",814,941,125,44,75
"107",21,111,11,9,21
"108",22,122,13,9,14
"109",27,110,14,8,17
"110",41,134,25,13,20
"111",19,91,12,12,16
"112",23,136,23,13,15
"113",27,133,25,12,18
"114",28,116,10,9,14
"115",21,137,18,11,19
"116",25,134,21,10,14
"117",29,99,13,12,16
"118",814,941,125,44,75
"119",17,116,15,13,25
"120",19,85,16,16,17
"121",35,107,13,9,17
"122",814,941,125,44,75
"123",814,941,125,44,75
"124",814,941,125,44,75
"125",19,112,13,16,21
"126",814,940,124,44,75
"127",34,123,21,15,17
"128",36,146,22,18,11
"129",814,941,125,44,75
"130",814,941,125,44,75
"131",814,941,125,44,75
"132",19,95,8,3,11
"133",814,941,125,44,75
"134",19,110,21,7,16
"135",16,124,20,11,18
"136",15,90,11,12,14
"137",34,133,28,11,16
"138",22,123,11,10,21
"139",37,143,16,13,20
"140",24,109,15,9,15
"141",23,116,23,12,21
"142",811,940,125,44,75
"143",27,111,16,9,23
"144",814,941,125,44,75
"145",814,941,125,44,75
"146",35,133,19,7,19
"147",31,120,18,13,20
"148",814,941,125,44,75
"149",18,132,11,15,19
"150",23,114,10,14,17
"151",814,941,125,44,75
"152",814,939,124,44,75
"153",813,941,125,44,75
"154",814,941,125,44,75
"155",26,133,19,10,25
"156",814,941,125,44,75
"157",20,103,15,9,19
"158",40,153,17,14,22
"159",814,941,125,44,75
"160",26,118,20,12,13
"161",32,119,21,9,19
"162",17,111,18,10,14
"163",27,114,13,8,21
"164",23,113,16,6,20
"165",814,941,125,44,75
"166",19,98,13,8,23
"167",32,128,22,12,22
"168",814,941,125,44,75
"169",814,941,125,44,75
"170",812,941,125,44,75
"171",21,97,12,10,18
"172",33,110,19,9,21
"173",29,126,14,9,17
"174",18,113,15,14,24
"175",18,108,21,14,21
"176",814,941,125,44,75
"177",814,941,125,44,75
"178",23,100,13,10,28
"179",29,110,14,16,19
"180",19,114,13,13,20
"181",32,116,14,10,19
"182",30,133,15,11,16
"183",16,102,15,8,17
"184",814,941,125,44,74
"185",814,941,125,44,75
"186",814,941,125,44,75
"187",20,102,7,12,20
"188",23,117,16,10,15
"189",812,941,125,44,75
"190",38,162,21,14,21
"191",814,941,125,44,75
"192",814,941,125,44,75
"193",814,941,125,44,75
"194",18,99,9,11,23
"195",24,97,8,9,15
"196",814,939,125,44,75
"197",19,130,12,6,23
"198",15,111,15,10,14
"199",22,111,15,6,20
"200",22,117,11,8,11
"201",29,143,15,13,19
"202",18,118,16,12,22
"203",34,124,20,11,17
"204",28,126,20,7,20
"205",26,129,16,16,17
"206",16,122,20,9,17
"207",814,941,125,44,75
